Model,Temperature,Turn,Prompt_mode,seller_payoff,buyer_payoff,accepted_threshold,expressive_level,display_rule,face_only,Turn = 1,Turn = 2,Turn = 3,Turn = 4,Turn = 5,ranking_response,Turn = 6,Final_response,i,Turn = 7,Turn = 8,Turn = 9,Turn = 10,Turn = 11
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-3-2,price < warranty < service,1-1-1,reject,0,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,warranty < service < price,6-7-7,240,1,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service,2-3-2,reject,2,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,warranty < service < price,6-7-7,240,3,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,7-6-7,7-7-6,price < warranty < service,7-7-7,190,4,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service,2-2-2,reject,5,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-7,240,6,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,warranty < service < price,6-7-7,240,7,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,warranty < service < price,6-7-7,240,8,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,warranty < service < price,6-7-7,240,9,,,,,
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-6,190,0,7-7-6,7-6-6,7-7-7,7-6-7,7-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,warranty < service < price,6-7-6,190,1,7-7-6,7-6-6,7-7-7,7-6-7,7-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-8,240,2,6-7-7,6-6-7,6-7-8,6-7-7,6-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,7-7-7,6-6-6,7-6-7,7-7-6,6-7-5,price < warranty < service,7-7-5,240,3,7-6-6,6-7-6,7-7-7,6-7-7,6-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,warranty < service < price,6-7-8,240,4,6-7-7,6-6-7,6-7-7,6-6-6,6-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-8,240,5,6-7-7,6-6-7,6-7-8,6-7-7,6-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,7-7-7,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-6,190,6,7-7-7,6-7-7,6-6-7,6-7-6,7-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-6,190,7,7-7-6,7-6-6,7-7-7,7-6-7,7-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-8,240,8,6-7-7,6-6-7,6-7-8,6-7-7,6-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,3-3-3,warranty < service < price,4-4-4,190,9,5-5-5,6-6-6,7-7-7,7-7-7,7-7-7
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,0.25,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,2-3-2,reject,0,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,0.25,happy-angry,False,5-5-5,6-4-4,7-3-3,8-2-2,9-1-1,price < warranty < service duration,5-2-2,reject,1,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,0.25,happy-angry,False,7-6-5,6-5-4,5-4-3,4-3-2,3-2-1,warranty < service < price,2-1-1,reject,2,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,0.25,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,5-5-5,2-2-2,reject,3,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,0.25,happy-angry,False,5-5-5,4-4-4,3-6-3,2-7-2,1-8-1,price < service < warranty,1-9-1,reject,4,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,0.25,happy-angry,False,7-7-7,6-6-6,7-6-7,7-7-6,6-7-6,price < warranty < service,7-7-7,190,5,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,0.25,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,2-2-2,reject,6,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,0.25,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-7,240,7,,,,,
