Model,Temperature,Turn,Prompt_mode,seller_payoff,buyer_payoff,accepted_threshold,expressive_level,display_rule,face_only,Turn = 1,Turn = 2,Turn = 3,Turn = 4,Turn = 5,ranking_response,Turn = 6,Final_response,i,Turn = 7,Turn = 8,Turn = 9,Turn = 10,Turn = 11
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-4-7,7-3-6,8-2-5,9-1-4,price < warranty < service duration,1-1-1,reject,0,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,7-7-7,6-6-6,5-5-5,4-4-4,3-3-3,price < warranty < service duration,1-1-1,reject,1,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,1-1-1,reject,2,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,1-1-2,reject,3,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,7-4-6,6-3-7,4-2-8,3-1-9,price < warranty < service,1-1-1,reject,4,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,8-8-8,9-9-9,warranty < price < service,1-1-1,reject,5,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,8-8-8,9-9-9,price < warranty < service,1-1-1,reject,6,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,8-8-8,9-9-9,warranty < price < service,1-1-1,reject,7,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,service < warranty < price,1-1-1,reject,8,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,1-1-1,reject,9,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,1-1-2,reject,10,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-6-7,3-7-6,2-8-5,1-9-4,warranty < price < service,1-1-1,reject,11,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,1-1-1,reject,12,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,8-8-8,9-9-9,price < warranty < service,1-1-1,reject,13,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,1-1-1,reject,14,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,7-7-7,6-6-6,5-5-5,4-4-4,3-3-3,price < warranty < service,1-1-1,reject,15,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,1-1-2,reject,16,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,8-8-8,9-9-9,price < warranty < service duration,1-1-1,reject,17,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,1-1-2,reject,18,,,,,
gpt-3.5-turbo,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,warranty < price < service,1-1-1,reject,19,,,,,
gpt-3.5-turbo,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,1-2-3,210,0,2-3-4,3-4-5,4-5-6,5-6-7,6-7-8
gpt-3.5-turbo,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,8-8-8,9-9-9,price < warranty < service duration,9-8-7,165,1,8-7-6,7-6-5,8-6-7,7-7-8,6-8-9
gpt-3.5-turbo,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,3-1-2,reject,2,2-1-1,1-1-2,1-2-2,1-2-1,1-1-1
gpt-3.5-turbo,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,6-6-6,0,3,7-7-7,8-8-8,9-9-9,9-9-9,9-9-9
gpt-3.5-turbo,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service duration,6-6-6,0,4,7-7-7,8-8-8,9-9-9,9-9-8,9-9-9
gpt-3.5-turbo,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service,2-1-1,reject,5,3-2-1,4-3-2,5-4-3,6-5-4,7-6-5
